# HOTD2 function names — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
# Addresses are virtual, lower-case hex, no 0x prefix.
#
# Regenerate from a live database with:   ./ghidra/run.sh export-annotations
# Replay onto a fresh import with:        ./ghidra/run.sh apply-annotations
#
# ApplyAnnotations only renames a symbol whose current name is still a Ghidra
# default (FUN_/SUB_/LAB_/DAT_/UNK_), so re-applying is idempotent and never
# clobbers a name a human chose in the GUI.
#
# Names recovered by Ghidra's own analysers (CRT, D3DX, Catch@/Unwind@) are
# deliberately NOT listed: auto-analysis recreates them on import.#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

00401260	RegionDrawResidentSet	walks the region tables; the engine's only table-driven draw path
004842a0	ScriptedHumanoidUpdate	Class 0x25's bytecode VM, and the second-largest class in the game at 142 spawns. Walks 8-byte commands -- {s16 op, s16 mode, s16 a, s16 b}, or 16 bytes when the command carries a point -- running them until one blocks; a command that cannot proceed leaves the cursor where it is and falls through to the per-frame tail, so a run of setup commands all take effect in one frame and only a wait costs one. 19 opcodes: 0/1/4 wait on a condition (frame count, camera path+frame, motion frame, script flag, or the point test in mode 4) -- and 0 and 1 differ in what they leave behind: obj+0x1324 is set to the OPCODE, and that word is the freeze flag the draw routine tests, so op 0 lets the animation run and op 1 holds the pose. MODE 4 PROCEEDS WHEN THE ACTOR HAS MOVED AWAY FROM THE POINT, not toward it: 0x004845FD FCOMPP compares |prev-point| against |pos-point| and 0x00484601 TEST AH,1 / JZ 0x00484A7B blocks unless C0 is set, i.e. unless the PREVIOUS distance was the smaller one. Mode 2 on op 0 can never fire -- 0x00484386 tests the opcode itself and jumps to the blocked path when it is zero -- and no shipped command uses it. 2/3 set the motion (2 is ActorSetMotion plus a phase into obj+0x194, -1 meaning rand()%%10; 3 is ActorSetMotionBlended with b as the start cursor and MODE as the fade length), 5/6/7 turn, 8 sets the position, 9 and 16 swap models from per-character tables, 10 skips an arm to the next -2 unless the player count matches, 11 rides an op_ object path through CamEvalObjectPath6 on the CAMERA's frame, 13 plays a sound, 14 sets the hand-prop draw mode at obj+0x1330, 15 jumps, 18 is ActorKill and -1 falls into ScriptedHumanoidIdle. Op 17 is FIVE DIFFERENT THINGS and only three of them leave: mode 0 installs LAB_00484DF0, mode 1 FUN_00484EA0, mode 4 FUN_00484F90 (after obj+0x50 = -0.408); mode 2 calls FUN_00484F50 and mode 3 spawns sprite effect 0x41 sub-type 2 at a hardcoded point -- (-189.3, -24.9, -1505.0) in block 9, (-1264.0, -24.9, -1353.0) elsewhere, immediates c33d4ccd/c1c73333/c4bc2000 and c49e0000/c1c73333/c4a92000 at 0x00484A05 and 0x00484A1F -- and BOTH of those stay in the VM and run the next command. The per-frame tail runs the turn, the path follow and the draw.
00484d40	ScriptedHumanoidIdle	What class 0x25's opcode -1 installs as the object's entry point (0x00484A87: MOV dword ptr [EDI], 0x484d40). It runs the cutscene-skip teardown on g_cutscene_skipping (0x009A2230), then the same removal test ScriptedHumanoidUpdate opens with -- obj+0x34 bit 0x2000000 chooses g_script_flags[tail+0x02] or g_active_cam_path == tail+0x02 at frame tail+0x04 -- and then ScriptedHumanoidDraw (0x00484FF0). AND NOTHING ELSE: no obj+0x1320 increment, no turn, no object-path follow, no obj+0x13C0 prevPos capture. So a class-0x25 actor that ends its program stops turning and stops riding its path from the NEXT frame on; the frame that runs opcode -1 still falls through the normal tail at 0x00484A8D.
00484ff0	ScriptedHumanoidDraw	Class 0x25's per-frame draw, called from the tail of every blocked command. Poses the skeleton through FUN_00411090 and then advances the motion frame at obj+0x194 only while obj+0x1324 is zero -- the same freeze flag class 0x24 has. It reads obj+0x1330 nowhere, but that does NOT make the field cosmetic: the reader is ScriptedHumanoidBoneDrawHook (0x00485260), the per-bone callback installed at obj+0x12EC, so op 14 really is a draw mode. It also draws a per-spawn decoration chosen by tail+0x06: 1 and 2 are fixed props at hardcoded points, 3 rides an op_ object path, and 4 draws only while g_active_cam_path is 0x93.
00485260	ScriptedHumanoidBoneDrawHook	Class 0x25's per-bone draw callback, installed at obj+0x12EC by ScriptedHumanoidInit (0x004841AD writes 0x485260 into model+0x1158). Takes the skeleton node in EBX and switches on its bone index at node+0x14. obj+0x1364 non-zero with bone 2 calls FUN_00485BA0; obj+0x1330 == 2 or == 1 select which hand prop to draw, each indexing a 13-byte cel table (g_class25_bone_prop_cels / _alt) by (obj+0x1334 %% 13), adding the cel to a per-character asset-slot base (0x14B3/0x14C3/0x14DA/0x14E1/0x1273/0xD28/0xC3A/0x149D by character type) and drawing it through FUN_00418560, then incrementing obj+0x1334. This is the reader that makes obj+0x1330 a DRAW MODE for class 0x25 -- ScriptedHumanoidDraw (0x00484FF0) never reads it, which had been taken to mean nothing did. It also reads byte obj+0x131B and word obj+0x1F4. FUN_00485BA0 and FUN_00485D70 are [open].
0048a0d0	ResetOriginalModeLoadout	Zeroes the per-player Original Mode block at g_original_item_slots, stride 0x14: both item slots to -1, +0x02 the player index, +0x03 1, +0x04 3, +0x05 5, +0x06 0, +0x07 0, +0x08 the magazine size 6, +0x09 the weapon kind 0, +0x0C 1.0f. This is what proves +0x08 and +0x09 are fields of that block and not two loose bytes.
0048a310	ColiLoadFileByIndex
0048a3b0	ColiLoadForScene
0048a3e0	CivilianInit	Class 0x10, the civilian. ActorAllocSub(0xC4) at obj+0x1310; the descriptor tail at obj+0x130C gives the character type (+0x00), the g_civilian_scripts index (+0x01), the removal cue (+0x02/+0x04/+0x06), a part list (+0x08) and a child count and array (+0x0C/+0x10). Every child is SpawnFromDescriptor'd and parented at child+0x1394, and its hit points are scaled by g_hp_percent_by_rank -- those children are the zombies holding the civilian, and nothing in the evt instruction stream points at their descriptors.
0048a920	CivilianUpdate	Class 0x10's per-frame entry. Prunes dead children, runs the sub+0x5C frame hook, turns toward the target, steps op 0x26's move, counts the clip's loops, calls CivilianStepScript and re-enters CivilianRunScript when it says so, then the shot branch, the queued sound and the removal countdown. The shot branch pays -100 to the shooter (or to both on a killing shot), calls PlayerTakeDamageTimed and switches to the sub+0x4C script.
0048b140	CivilianUpdateOnCarrier	Class 0x10's other entry, installed when the descriptor's +0x22 is non-zero. Pushes the carrier object's (sub+0x68) translate/rotate around a call to CivilianUpdate, so the civilian rides it; when the carrier dies it copies the position out and swaps itself for CivilianUpdate.
0048b1e0	CivilianStepScript	Decides whether class 0x10's parked wait command is over, and if so walks the cursor to the next one. Every bit of the wait word is a REASON TO KEEP WAITING, so the conjunction reads inverted: it breaks out when all the reasons still hold. **LAB_0048B52E is one label reached from three places** and holds the tail all the arrival arms share -- the in-front test (bit 0x40, against the RAW sub+0x30..0x38 target, not the mode-resolved point the reach and turn tests build), then the camera cue (0x80) and the in-play gate (0x40000000), then the timer at sub+0x14. A word with neither 0x10 nor 0x20 jumps straight there; the 0x20 arm goes there when the heading error is not yet zero; the 0x10 arm goes there while the actor is outside sub+0x3C. Splitting that tail per-arm is a bug: a word carrying 0x40 alone then runs no test at all and only its timer can release it. On success it zeroes the target mode at sub+0x40 (LAB_0048B67E) before advancing.
0048b760	CivilianReapplyWaitCommand	Walks class 0x10's stream from one wait command to the next, applying ONLY the opcodes a wait condition reads -- the clip and its loop count, the target point, the timer, the three count goals, the camera cue, the frame hook and the script-flag index. A block CivilianStepScript skips still has to leave those in place; its sounds, dialogue and score are not conditions and are not run.
0048b9e0	CivilianRunScript	Class 0x10's action VM. Dword commands, per-opcode length, opcodes 0x00-0x2C; stops before any opcode above 0x2B and parks the cursor at sub+0x48. Op 0x2C loads the wait word (masking off 0x04000000) and, when it carries 0x10000000, pays ScoreAddForPlayer 400 -- to sub+0x6C's player, or to both when that is -1. That is the rescue award. Op 0x10 installs a native per-frame hook which decides its own command length. OPS 0x00 AND 0x01 CARRY THE ROOT-MOTION SWITCH: inside their 'is this a different clip' test they write model+0x64 bit 1 from bit 0x00100000 of the wait word -- (*g_cur_civilian & 0x100000) ? (model+0x64 | 2) : (model+0x64 & 0xfffffffd) -- which is exactly the gate SkeletonApplyRootMotion (FUN_00410C50) tests. So a civilian's clip carries her only in the blocks whose wait word asks for it: 289 of the 596 shipped wait commands set the bit, 297 do not, and the write happens only on a clip CHANGE. Op 0x27 is the only command that touches model+0x116C, storing its operand verbatim into that float field (one instance in the shipped scripts, 0x42480000 = 50.0); ops 0x1B/0x23/0x24/0x25 do not touch it. [proved] OP 0x1B IS THE HUD SHUTTER, and through it the firing gate: 'CMP dword ptr [0x009c8e98],0xA / JZ / MOV DL,byte ptr [ESI+0x4] / MOV byte ptr [0x009ca0f4],DL' at 0x0048BF0A-0x0048BF16 -- a BYTE store of the low byte of a dword operand into g_bHudShutterState, skipped only while g_app_state is 10. HudDrawShutterState (0x00413970) picks the change up on its next draw and raises g_nFiringGate for a 1 or drops it at the end of a 3, so a CIVILIAN'S SCRIPT CAN GIVE THE PLAYER THE GUN BACK inside a letterboxed scene. 60 of the shared table's commands run it, 30 with 1 and 30 with 3. That is what makes stage 1 block 1 step 8's wait_enemies_alive clearable: the script closes the shutter at step 6 and never reopens it, and the mauled civilian's own killed script does. [proved]
0048c310	CivilianApplyMotionPose	Class 0x10's pose step: blends the clip, takes the root translation off the pol file's own frame, and turns the body by the difference between two bone directions. Driven by wait-word bits 0x8000/0x10000/0x18000/0x20000/0x200000.
0048c850	CivilianStepTurnToTarget	Class 0x10's per-frame turn, run by CivilianUpdate whenever sub+0x40 (the target mode) is non-zero. Resolves the target the same way the wait tests do -- the camera for mode -1, the actor's position mirrored through the camera for any other negative, sub+0x30..0x38 for a positive one, and for a civilian riding a carrier it pulls the point into the carrier's frame first -- then calls ActorTurnTowardPoint with a **literal 0x100** cap. It does NOT read sub+0x0E: op 3 writes that field and nothing in the turn consults it, so a port that passes it instead turns every civilian at the op's default of ten, twenty-five times too slowly.
0048c990	ActorTurnTowardPoint	Turn an actor's yaw toward a point by at most cap BAMS. Builds the inverse of the actor's orientation (-ry, -rz, -rx), transforms actor MINUS target through it -- that order, not target minus actor -- takes fpatan of the transformed x and z as a s16, clamps it to +/-cap and adds it to xform+0x28. It also writes the transformed point back over its second argument, so the caller's local is clobbered; no shipped caller reads it afterwards.
0048ca60	CivilianPruneDeadChildren	Compacts class 0x10's child array, dropping every child whose obj+0x34 carries 0x4000000 and remembering that child's obj+0x131C in sub+0x6C -- which is the player the rescue pays. Wait bit 0x04 blocks until the array is shorter than sub+0x20.
0048cae0	CivilianAddHeldItem	Op 0x13: grow class 0x10's held-item array by one and append the command's two operands.
0048cb60	CivilianAddPickedItem	Op 0x14: the same, but the first operand is whatever CivilianPickHeldItem last chose (sub+0x74).
0048cbf0	CivilianPickHeldItem	Op 0x15: walk a {weight, record} list terminated by weight -1, pick one with rand() %% total, store it at sub+0x74 and preload its two assets. The second comes from a per-kind table at 0x0056B0F4.
0048cd10	CivilianDrawHeldItems	Draws class 0x10's held items, each on the bone the character type's attach set (sub+0x82) names. Compacts the array when an item raises the wait word's 0x400000.
0048d070	PoseHookGrowAndPushOutOfWorld	The only other per-frame pose hook in the program. Ramps the actor's radius (obj+0x128) toward a target and pushes it out of world collision along the hit normal. It does NOT rotate any bone -- see the note on upper-body aim in docs/formats/combat.md.
0048d140	CivilianPlayDeathVoice	Plays the voice a shot civilian cries out. sub+0x81 selects directly; 0xFF picks by character type -- 0x24/0x25/0x2E/0x31-0x33 -> 0x2000001A, 0x21/0x22 -> 0x20000011, 0x26-0x2C -> 0x2000000B, 0x20/0x23/0x2D -> 0x2000000D, else 0x20000012. Those five ids are COM\\220_Y_M, COM\\209_M, COM\\190_Y_W, COM\\207_OLD_W and COM\\200_C -- which is what proves the class is civilians.
0048d9f0	CivilianHookStartFall	Op 0x10 hook: zero the y velocity, set obj+0x5C to -0.02722 and install CivilianHookFallStep. Consumes two dwords.
0048da20	CivilianHookFallStep	Per-frame: obj+0x50 += obj+0x5C, obj+0x44 += obj+0x50, and when QueryGroundHeightAt(x, y+100, z) is at or above the new height, snap to it, raise sub+0x18 (which wait bit 0x400 waits for) and uninstall.
0048da90	CivilianHookRideChildren	Op 0x10 hook: install CivilianHookRideChildrenStep. Consumes two dwords.
0048dab0	CivilianHookRideChildrenStep	Per-frame: averages the surviving children's positions and turns the civilian toward it with ActorTurnTowardPoint capped at 0x80 BAMS -- a facing, not a carry. Uninstalls itself once the object is flagged dead, and does NOT raise sub+0x18, so wait bit 0x400 never ends on this one.
0048db90	CivilianHookLaunchUp	Op 0x10 hook: take one dword as the launch y speed, raise obj+0x34 bit 0x80000 and install the fall step. Consumes three dwords.
0048dbd0	CivilianHookLaunch	Op 0x10 hook: take three dwords as a whole launch velocity and install the fall step. Consumes five dwords.
0048e080	SpawnCivilianBloodPool	Builds the 0x1314-byte decal object a shot civilian leaves, scaled by how far below the camera plane the point is, and picks asset 0x132D or 0x132E by which player fired.
0048e290	Class26InstallSubtypeUpdate	Class 0x26's handler, and an installer rather than a per-frame routine: it switches on the s16 at obj+0x11C (0..7, JMP [EAX*4 + g_class26_states]), calls the chosen update once and writes it into obj+0x00 as the object's entry point, so this runs exactly once per spawn. 0 -> FUN_0048E350, 1 -> St1VehicleUpdate, 2 -> Class26Subtype2Update, 3 -> FUN_0048F050, 4 -> FUN_00475A50 then FUN_0048F190, 5 -> FUN_0048F560, 6 and 7 -> FUN_0048F930. obj+0x11C is the subtype here and NOT hit points -- see docs/LESSONS.md L3.
0048e600	St1VehicleUpdate	Stage-1 opening vehicle (car_pl.bin + char_adv00.bin occupants). Picks its route from g_active_cam_path: cp_st1 0/1 (0x20/0x21) ride op_st1 0/1 at min(g_cam_path_frame, g_cam_path_length[slot]); cp_st1 1 clears the moving flag obj+0x1320 past frame 0x15D and stops re-evaluating. cp_st1 2 (0x22) does NOT ride a path -- it parks the car with CamEvalObjectPath6(0xFE, 350.0), a literal, and reads op_st1 2 (0xFF) only for rot_y, which becomes obj+0x1334, the occupants' yaw, minus 0x4000. obj+0x1330 gains 0x2000 a frame while moving and spins the two wheel pairs.
0048ead0	Class26Subtype2Update	Class 0x26 subtype 2 -- what Class26InstallSubtypeUpdate installs for obj+0x11C == 2. Stage 3's is descriptor 3244, spawned at (0,0,0) with a zero orientation. First call only: ORs 0x51 into obj+0x34, copies **obj+0x1390 into obj+0x14C, sets g_carrier_object = obj (so class 0x30 state 29 can ride it), calls FUN_00409270 and bumps obj+0x1312. Then a switch on g_active_cam_path picks an op_ path slot: 0x7C->0x156, 0x7D->0x157, 0x7E->0x158, 0x7F->0x159, 0x82->0x15A, 0x85->0x15B, 0x86->0x15C, 0x87->0x15D, and 0xF6/0xF7/0xF8->0x199. Frame is min(g_cam_path_frame, g_cam_path_length[slot]); the pose goes to obj+0x40/0x44/0x48 with y biased by the literal 2.0 at 0x004E30F0, and obj+0x64/0x68/0x6C take the path's rx/ry/rz -- except that while obj+0x1350 is latched obj+0x68 becomes the live camera yaw + 0x8000. **The default: case jumps straight past the whole pose block to the draw**, so on any camera path the switch does not name the object is drawn at whatever pose it last held -- which before the first named path is the spawn descriptor's. It always draws: MatrixTranslate(pos), MatrixRotateZ, MatrixRotateY, MatrixRotateX, AssetDrawSlot(0x1A37), FUN_004A8CA0(obj+0x150); then it transforms the position through the camera matrix into obj+0x70/0x74/0x78, the shot-test centre. Slot 0x1A37 is etc_1_05.bin entry 0 and is the boat ScriptedHumanoidDraw's variant 3 also draws.
